group,feature,condition,mean,fraction,module
B cells,CD79A,Baseline,4.205473079753885,0.881094615950777,Lymphoid
B cells,CD79A,Stimulated,4.21675735920702,0.8833514718414041,Lymphoid
B cells,LYZ,Baseline,1.2560134705254313,0.29120269410508626,Myeloid
B cells,LYZ,Stimulated,1.1752054997791337,0.2750410999558267,Myeloid
B cells,LST1,Baseline,1.2452745328117252,0.289054906562345,Myeloid
B cells,LST1,Stimulated,1.1331584181770837,0.2666316836354167,Myeloid
B cells,COL1A1,Baseline,0.35442662015372706,0.11088532403074541,Matrix
B cells,COL1A1,Stimulated,0.3216127299569497,0.10432254599138993,Matrix
B cells,DCN,Baseline,0.4227073527771696,0.12454147055543391,Matrix
B cells,DCN,Stimulated,0.22640716349925474,0.08528143269985095,Matrix
B cells,PECAM1,Baseline,0.40093111314659885,0.12018622262931977,Vascular
B cells,PECAM1,Stimulated,0.2591986249393078,0.09183972498786155,Vascular
B cells,VWF,Baseline,0.21979351168234076,0.08395870233646816,Vascular
B cells,VWF,Stimulated,0.21748050057557392,0.08349610011511478,Vascular
B cells,EPCAM,Baseline,0.3149134332513873,0.10298268665027746,Epithelial
B cells,EPCAM,Stimulated,0.31792121885650515,0.10358424377130104,Epithelial
B cells,KRT8,Baseline,0.3752007551631595,0.1150401510326319,Epithelial
B cells,KRT8,Stimulated,0.2567947217153643,0.09135894434307287,Epithelial
Myeloid,CD3D,Baseline,0.25355771942345084,0.09071154388469016,Lymphoid
Myeloid,CD3D,Stimulated,0.8918600025544943,0.21837200051089886,Lymphoid
Myeloid,IL7R,Baseline,0.396925192427812,0.1193850384855624,Lymphoid
Myeloid,IL7R,Stimulated,0.9098964041526023,0.22197928083052046,Lymphoid
Myeloid,MS4A1,Baseline,1.1016811557449533,0.2603362311489906,Lymphoid
Myeloid,MS4A1,Stimulated,1.7298152644662421,0.3859630528932484,Lymphoid
Myeloid,CD79A,Baseline,1.1395709504136673,0.2679141900827334,Lymphoid
Myeloid,CD79A,Stimulated,1.76138245651071,0.392276491302142,Lymphoid
Myeloid,LYZ,Baseline,4.212917166284984,0.8825834332569968,Myeloid
Myeloid,LYZ,Stimulated,4.89625317351328,0.96,Myeloid
Myeloid,LST1,Baseline,4.414505304383017,0.9229010608766034,Myeloid
Myeloid,LST1,Stimulated,4.821688720903342,0.96,Myeloid
Myeloid,COL1A1,Baseline,1.0484025633862097,0.24968051267724195,Matrix
Myeloid,COL1A1,Stimulated,1.8103060464748406,0.4020612092949681,Matrix
Myeloid,DCN,Baseline,1.160532656204685,0.272106531240937,Matrix
Myeloid,DCN,Stimulated,1.7105437129191228,0.38210874258382455,Matrix
Myeloid,PECAM1,Baseline,0.21258900201549188,0.08251780040309838,Vascular
Myeloid,PECAM1,Stimulated,0.8137293038863269,0.2027458607772654,Vascular
Myeloid,VWF,Baseline,0.2780660052585964,0.09561320105171928,Vascular
Myeloid,VWF,Stimulated,0.9194557643033978,0.22389115286067957,Vascular
Myeloid,EPCAM,Baseline,0.26883924285911376,0.09376784857182274,Epithelial
Myeloid,EPCAM,Stimulated,0.8238050185940168,0.20476100371880337,Epithelial
Myeloid,KRT8,Baseline,0.3859750961990104,0.11719501923980208,Epithelial
Myeloid,KRT8,Stimulated,0.8483066528848807,0.20966133057697614,Epithelial
Stromal,CD3D,Baseline,0.2271373059510222,0.08542746119020445,Lymphoid
Stromal,CD3D,Stimulated,0.2712519733810296,0.09425039467620591,Lymphoid
Stromal,IL7R,Baseline,0.36642170509338945,0.1132843410186779,Lymphoid
Stromal,IL7R,Stimulated,0.30729791952479607,0.10145958390495921,Lymphoid
Stromal,MS4A1,Baseline,0.38707356894735423,0.11741471378947085,Lymphoid
Stromal,MS4A1,Stimulated,0.21164484183259955,0.0823289683665199,Lymphoid
Stromal,CD79A,Baseline,0.44938173787757163,0.12987634757551433,Lymphoid
Stromal,CD79A,Stimulated,0.36109960413096376,0.11221992082619275,Lymphoid
Stromal,LYZ,Baseline,1.2491382954589336,0.2898276590917867,Myeloid
Stromal,LYZ,Stimulated,1.0983948606134541,0.2596789721226908,Myeloid
Stromal,LST1,Baseline,1.2843965054084303,0.29687930108168603,Myeloid
Stromal,LST1,Stimulated,1.2079753171232352,0.281595063424647,Myeloid
Stromal,COL1A1,Baseline,4.311964372191324,0.9023928744382648,Matrix
Stromal,COL1A1,Stimulated,4.343395672226447,0.9086791344452895,Matrix
Stromal,DCN,Baseline,4.43875339555747,0.927750679111494,Matrix
Stromal,DCN,Stimulated,4.318411239864887,0.9036822479729775,Matrix
Stromal,PECAM1,Baseline,1.1886777602473837,0.27773555204947675,Vascular
Stromal,PECAM1,Stimulated,1.0454018040207649,0.249080360804153,Vascular
Stromal,VWF,Baseline,1.1510793873924374,0.27021587747848747,Vascular
Stromal,VWF,Stimulated,1.107695959594296,0.26153919191885916,Vascular
Stromal,EPCAM,Baseline,0.41683757723197934,0.12336751544639588,Epithelial
Stromal,EPCAM,Stimulated,0.2554892960845262,0.09109785921690525,Epithelial
Stromal,KRT8,Baseline,0.3640651464658771,0.11281302929317544,Epithelial
Stromal,KRT8,Stimulated,0.32336166070518546,0.1046723321410371,Epithelial
Endothelial,CD3D,Baseline,0.42167507873810683,0.12433501574762137,Lymphoid
Endothelial,CD3D,Stimulated,0.26104822341302475,0.09220964468260495,Lymphoid
Endothelial,IL7R,Baseline,0.26887894877360163,0.09377578975472033,Lymphoid
Endothelial,IL7R,Stimulated,0.3803256092617686,0.11606512185235374,Lymphoid
Endothelial,MS4A1,Baseline,0.2132168330848092,0.08264336661696184,Lymphoid
Endothelial,MS4A1,Stimulated,0.24730683976594026,0.08946136795318804,Lymphoid
Endothelial,CD79A,Baseline,0.24371932943007743,0.08874386588601549,Lymphoid
Endothelial,CD79A,Stimulated,0.28300233408790837,0.09660046681758166,Lymphoid
Endothelial,LYZ,Baseline,0.33382616616542204,0.1067652332330844,Myeloid
Endothelial,LYZ,Stimulated,0.4246175280198908,0.12492350560397816,Myeloid
Endothelial,LST1,Baseline,0.38986026593591927,0.11797205318718385,Myeloid
Endothelial,LST1,Stimulated,0.4449575260742826,0.12899150521485653,Myeloid
Endothelial,COL1A1,Baseline,1.2748945229938267,0.2949789045987653,Matrix
Endothelial,COL1A1,Stimulated,1.213262451330472,0.2826524902660944,Matrix
Endothelial,DCN,Baseline,1.176303005029933,0.2752606010059866,Matrix
Endothelial,DCN,Stimulated,1.084653296647493,0.2569306593294986,Matrix
Endothelial,PECAM1,Baseline,4.210180275160386,0.8820360550320773,Vascular
Endothelial,PECAM1,Stimulated,4.310091365433964,0.9020182730867928,Vascular
Endothelial,VWF,Baseline,4.3858394221492025,0.9171678844298405,Vascular
Endothelial,VWF,Stimulated,4.222532388608065,0.8845064777216131,Vascular
Endothelial,EPCAM,Baseline,1.22514682341046,0.285029364682092,Epithelial
Endothelial,EPCAM,Stimulated,1.2290863190746075,0.2858172638149215,Epithelial
Endothelial,KRT8,Baseline,1.0668994561642235,0.2533798912328447,Epithelial
Endothelial,KRT8,Stimulated,1.1987516964499467,0.2797503392899893,Epithelial
Epithelial,CD3D,Baseline,0.4120929562882062,0.12241859125764123,Lymphoid
Epithelial,CD3D,Stimulated,0.24219724843200835,0.08843944968640166,Lymphoid
Epithelial,IL7R,Baseline,0.2939029319413362,0.09878058638826724,Lymphoid
Epithelial,IL7R,Stimulated,0.38814744340561685,0.11762948868112338,Lymphoid
Epithelial,MS4A1,Baseline,0.2856829241992837,0.09713658483985674,Lymphoid
Epithelial,MS4A1,Stimulated,0.20123259826065218,0.08024651965213044,Lymphoid
Epithelial,CD79A,Baseline,0.202852024429292,0.0805704048858584,Lymphoid
Epithelial,CD79A,Stimulated,0.27997595625393,0.09599519125078601,Lymphoid
Epithelial,LYZ,Baseline,0.2935353064831046,0.09870706129662092,Myeloid
Epithelial,LYZ,Stimulated,0.2437165903621852,0.08874331807243704,Myeloid
Epithelial,LST1,Baseline,0.2878014377125698,0.09756028754251395,Myeloid
Epithelial,LST1,Stimulated,0.22909243753874578,0.08581848750774915,Myeloid
Epithelial,COL1A1,Baseline,0.32934190824620035,0.10586838164924006,Matrix
Epithelial,COL1A1,Stimulated,0.2632778824826869,0.09265557649653738,Matrix
Epithelial,DCN,Baseline,0.3270633227600226,0.10541266455200451,Matrix
Epithelial,DCN,Stimulated,0.34906677527242713,0.10981335505448542,Matrix
Epithelial,PECAM1,Baseline,1.0603373078243283,0.25206746156486565,Vascular
Epithelial,PECAM1,Stimulated,1.2383993557268547,0.2876798711453709,Vascular
Epithelial,VWF,Baseline,1.113081964777783,0.2626163929555566,Vascular
Epithelial,VWF,Stimulated,1.1605476683222993,0.27210953366445984,Vascular
Epithelial,EPCAM,Baseline,4.430041088949101,0.9260082177898201,Epithelial
Epithelial,EPCAM,Stimulated,4.225666739575206,0.8851333479150412,Epithelial
Epithelial,KRT8,Baseline,4.278598570467519,0.8957197140935038,Epithelial
Epithelial,KRT8,Stimulated,4.227872915092366,0.8855745830184732,Epithelial
