id,x,y,section,group,fraction
p10_6,160,96,section1,Myeloid,0.5185395848379533
p11_6,176,96,section1,T cells,0.07150085083675714
p11_6,176,96,section1,B cells,0.6652703238175401
p11_6,176,96,section1,Myeloid,0.2632288253457025
p12_6,192,96,section1,T cells,0.09326133997001612
p12_6,192,96,section1,B cells,0.5751081723228056
p12_6,192,96,section1,Myeloid,0.33163048770717823
p13_6,208,96,section1,T cells,0.003250167895168151
p13_6,208,96,section1,B cells,0.44941127186108876
p13_6,208,96,section1,Myeloid,0.5473385602437429
p3_7,48,112,section1,T cells,0.405933441767028
p3_7,48,112,section1,B cells,0.44152640079119826
p3_7,48,112,section1,Myeloid,0.15254015744177382
p4_7,64,112,section1,T cells,0.6405004141754546
p4_7,64,112,section1,B cells,0.2783047574735486
p4_7,64,112,section1,Myeloid,0.08119482835099687
p5_7,80,112,section1,T cells,0.3470362325444046
p5_7,80,112,section1,B cells,0.47420531485675493
p5_7,80,112,section1,Myeloid,0.17875845259884035
p6_7,96,112,section1,T cells,0.5329149171760679
p6_7,96,112,section1,B cells,0.2819495569116618
p6_7,96,112,section1,Myeloid,0.1851355259122704
p7_7,112,112,section1,T cells,0.004039912940180358
p7_7,112,112,section1,B cells,0.6988275168008254
p7_7,112,112,section1,Myeloid,0.29713257025899414
p8_7,128,112,section1,T cells,0.03383236920950921
p8_7,128,112,section1,B cells,0.5834516318205452
p8_7,128,112,section1,Myeloid,0.3827159989699457
p9_7,144,112,section1,T cells,0.12266562145992088
p9_7,144,112,section1,B cells,0.5926644100401288
p9_7,144,112,section1,Myeloid,0.2846699684999503
p10_7,160,112,section1,T cells,0.022525632879114948
p10_7,160,112,section1,B cells,0.40330135680317586
p10_7,160,112,section1,Myeloid,0.5741730103177092
p11_7,176,112,section1,T cells,0.0210795440999141
p11_7,176,112,section1,B cells,0.4493814181573975
p11_7,176,112,section1,Myeloid,0.5295390377426884
p12_7,192,112,section1,T cells,0.03788890464727776
p12_7,192,112,section1,B cells,0.3217391723591154
p12_7,192,112,section1,Myeloid,0.6403719229936069
p6_8,96,128,section1,T cells,0.483475777693452
p6_8,96,128,section1,B cells,0.40308727918754267
p6_8,96,128,section1,Myeloid,0.11343694311900523
p7_8,112,128,section1,T cells,0.07426446913932763
p7_8,112,128,section1,B cells,0.8285286287816299
p7_8,112,128,section1,Myeloid,0.09720690207904235
p8_8,128,128,section1,T cells,0.2606946273069428
p8_8,128,128,section1,B cells,0.36463719833388486
p8_8,128,128,section1,Myeloid,0.37466817435917216
p9_8,144,128,section1,T cells,0.0823858324134592
p9_8,144,128,section1,B cells,0.4350034120288761
p9_8,144,128,section1,Myeloid,0.48261075555766475
