model,fpr,tpr,lower,upper,threshold,operating_point
Baseline,0.9090909090909092,0.9975081707059689,0.9525081707059688,1.0,0.09090909090909083,False
Baseline,0.9318181818181819,0.9987861320478296,0.9537861320478296,1.0,0.06818181818181812,False
Baseline,0.9545454545454546,0.9995595026521579,0.9545595026521578,1.0,0.045454545454545414,False
Baseline,0.9772727272727273,0.9999221303345616,0.9549221303345615,1.0,0.022727272727272707,False
Baseline,1.0,1.0,0.955,1.0,0.0,False
Multimodal,0.0,0.0,0.0,0.045,1.0,False
Multimodal,0.022727272727272728,0.08365300382300211,0.038653003823002116,0.1286530038230021,0.9772727272727273,False
Multimodal,0.045454545454545456,0.16203258157130274,0.11703258157130274,0.20703258157130272,0.9545454545454546,False
Multimodal,0.06818181818181818,0.23535740883001688,0.1903574088300169,0.28035740883001686,0.9318181818181819,False
Multimodal,0.09090909090909091,0.30384203504442553,0.25884203504442554,0.3488420350444255,0.9090909090909091,False
Multimodal,0.11363636363636365,0.3676968635813581,0.32269686358135813,0.4126968635813581,0.8863636363636364,False
Multimodal,0.13636363636363635,0.4271281311980277,0.38212813119802774,0.4721281311980277,0.8636363636363636,False
Multimodal,0.1590909090909091,0.48233788688519863,0.43733788688519865,0.5273378868851987,0.8409090909090909,False
Multimodal,0.18181818181818182,0.5335239700488155,0.4885239700488155,0.5785239700488155,0.8181818181818181,False
Multimodal,0.20454545454545456,0.5808799879911422,0.5358799879911421,0.6258799879911422,0.7954545454545454,False
Multimodal,0.2272727272727273,0.6245952926490375,0.5795952926490374,0.6695952926490375,0.7727272727272727,False
Multimodal,0.25,0.6648549565431492,0.6198549565431491,0.7098549565431492,0.75,False
Multimodal,0.2727272727272727,0.7018397478875142,0.6568397478875142,0.7468397478875143,0.7272727272727273,False
Multimodal,0.29545454545454547,0.7357261048041976,0.6907261048041976,0.7807261048041977,0.7045454545454546,False
Multimodal,0.3181818181818182,0.766686108582131,0.721686108582131,0.8116861085821311,0.6818181818181819,False
Multimodal,0.34090909090909094,0.7948874559130987,0.7498874559130987,0.8398874559130988,0.6590909090909091,False
Multimodal,0.36363636363636365,0.8204934300307491,0.7754934300307491,0.8654934300307492,0.6363636363636364,False
Multimodal,0.38636363636363635,0.843662870670431,0.798662870670431,0.888662870670431,0.6136363636363636,True
Multimodal,0.4090909090909091,0.8645501427583636,0.8195501427583636,0.9095501427583637,0.5909090909090908,False
Multimodal,0.4318181818181818,0.8833051037279546,0.8383051037279545,0.9283051037279546,0.5681818181818181,False
Multimodal,0.4545454545454546,0.9000730693486554,0.8550730693486553,0.9450730693486554,0.5454545454545454,False
Multimodal,0.4772727272727273,0.9149947779382734,0.8699947779382734,0.9599947779382735,0.5227272727272727,False
Multimodal,0.5,0.9282063528126853,0.8832063528126852,0.9732063528126853,0.5,False
Multimodal,0.5227272727272727,0.9398392628068652,0.8948392628068652,0.9848392628068653,0.4772727272727273,False
Multimodal,0.5454545454545454,0.9500202806773405,0.9050202806773404,0.9950202806773405,0.4545454545454546,False
Multimodal,0.5681818181818182,0.9588714391676936,0.9138714391676935,1.0,0.43181818181818177,False
Multimodal,0.5909090909090909,0.9665099844843454,0.9215099844843454,1.0,0.40909090909090906,False
Multimodal,0.6136363636363636,0.9730483268879879,0.9280483268879879,1.0,0.38636363636363635,False
Multimodal,0.6363636363636364,0.9785939880545554,0.9335939880545554,1.0,0.36363636363636365,False
Multimodal,0.6590909090909091,0.9832495447956461,0.938249544795646,1.0,0.34090909090909094,False
Multimodal,0.6818181818181819,0.9871125686478226,0.9421125686478226,1.0,0.3181818181818181,False
Multimodal,0.7045454545454546,0.9902755607376218,0.9452755607376218,1.0,0.2954545454545454,False
Multimodal,0.7272727272727273,0.9928258811963061,0.9478258811963061,1.0,0.2727272727272727,False
Multimodal,0.75,0.9948456722235434,0.9498456722235433,1.0,0.25,False
Multimodal,0.7727272727272727,0.996411773664428,0.951411773664428,1.0,0.2272727272727273,False
Multimodal,0.7954545454545455,0.9975956296417714,0.9525956296417714,1.0,0.20454545454545447,False
Multimodal,0.8181818181818182,0.9984631843307014,0.9534631843307013,1.0,0.18181818181818177,False
Multimodal,0.8409090909090909,0.999074764300351,0.954074764300351,1.0,0.15909090909090906,False
Multimodal,0.8636363636363636,0.9994849438457277,0.9544849438457277,1.0,0.13636363636363635,False
Multimodal,0.8863636363636364,0.9997423881444357,0.9547423881444357,1.0,0.11363636363636365,False
Multimodal,0.9090909090909092,0.9998896663980464,0.9548896663980464,1.0,0.09090909090909083,False
Multimodal,0.9318181818181819,0.9999630222401785,0.9549630222401785,1.0,0.06818181818181812,False
Multimodal,0.9545454545454546,0.9999920787483084,0.9549920787483084,1.0,0.045454545454545414,False
Multimodal,0.9772727272727273,0.9999994313044508,0.9549994313044508,1.0,0.022727272727272707,False
Multimodal,1.0,1.0,0.955,1.0,0.0,False
Fine-tuned,0.0,0.0,0.0,0.045,1.0,False
Fine-tuned,0.022727272727272728,0.11063410075700131,0.06563410075700131,0.1556341007570013,0.9772727272727273,False
Fine-tuned,0.045454545454545456,0.2112075756337196,0.16620757563371963,0.2562075756337196,0.9545454545454546,False
Fine-tuned,0.06818181818181818,0.3024280334720011,0.2574280334720011,0.3474280334720011,0.9318181818181819,False
Fine-tuned,0.09090909090909091,0.38496857628048153,0.33996857628048155,0.4299685762804815,0.9090909090909091,False
Fine-tuned,0.11363636363636365,0.4594687018840654,0.4144687018840654,0.5044687018840655,0.8863636363636364,False
Fine-tuned,0.13636363636363635,0.5265352043739079,0.4815352043739079,0.5715352043739079,0.8636363636363636,False
Fine-tuned,0.1590909090909091,0.5867430723084361,0.5417430723084361,0.6317430723084362,0.8409090909090909,False
Fine-tuned,0.18181818181818182,0.6406363846135501,0.5956363846135501,0.6856363846135501,0.8181818181818181,False
Fine-tuned,0.20454545454545456,0.6887292041275425,0.6437292041275424,0.7337292041275425,0.7954545454545454,False
Fine-tuned,0.2272727272727273,0.7315064687334873,0.6865064687334873,0.7765064687334874,0.7727272727272727,False
Fine-tuned,0.25,0.7694248800188214,0.7244248800188213,0.8144248800188214,0.75,False
Fine-tuned,0.2727272727272727,0.802913789398572,0.757913789398572,0.8479137893985721,0.7272727272727273,False
Fine-tuned,0.29545454545454547,0.8323760816351403,0.7873760816351403,0.8773760816351404,0.7045454545454546,False
Fine-tuned,0.3181818181818182,0.8581890556836769,0.8131890556836768,0.9031890556836769,0.6818181818181819,False
Fine-tuned,0.34090909090909094,0.8807053027878843,0.8357053027878842,0.9257053027878843,0.6590909090909091,False
Fine-tuned,0.36363636363636365,0.9002535817464665,0.8552535817464665,0.9452535817464666,0.6363636363636364,False
Fine-tuned,0.38636363636363635,0.9171396912653992,0.8721396912653991,0.9621396912653992,0.6136363636363636,False
Fine-tuned,0.4090909090909091,0.9316473393056306,0.8866473393056306,0.9766473393056306,0.5909090909090908,False
Fine-tuned,0.4318181818181818,0.9440390093296975,0.8990390093296975,0.9890390093296976,0.5681818181818181,False
Fine-tuned,0.4545454545454546,0.95455682334394,0.90955682334394,0.99955682334394,0.5454545454545454,False
Fine-tuned,0.4772727272727273,0.9634234016254516,0.9184234016254516,1.0,0.5227272727272727,False
Fine-tuned,0.5,0.9708427190144747,0.9258427190144747,1.0,0.5,True
Fine-tuned,0.5227272727272727,0.9770009576434987,0.9320009576434987,1.0,0.4772727272727273,False
Fine-tuned,0.5454545454545454,0.9820673559636823,0.9370673559636823,1.0,0.4545454545454546,False
Fine-tuned,0.5681818181818182,0.9861950539171758,0.9411950539171757,1.0,0.43181818181818177,False
Fine-tuned,0.5909090909090909,0.9895219340902031,0.944521934090203,1.0,0.40909090909090906,False
Fine-tuned,0.6136363636363636,0.9921714586660664,0.9471714586660663,1.0,0.38636363636363635,False
Fine-tuned,0.6363636363636364,0.9942535019791218,0.9492535019791217,1.0,0.36363636363636365,False
Fine-tuned,0.6590909090909091,0.9958651784497463,0.9508651784497463,1.0,0.34090909090909094,False
Fine-tuned,0.6818181818181819,0.997091665655682,0.9520916656556819,1.0,0.3181818181818181,False
Fine-tuned,0.7045454545454546,0.998007022266026,0.953007022266026,1.0,0.2954545454545454,False
Fine-tuned,0.7272727272727273,0.9986750005293644,0.9536750005293644,1.0,0.2727272727272727,False
Fine-tuned,0.75,0.9991498529655312,0.9541498529655311,1.0,0.25,False
Fine-tuned,0.7727272727272727,0.9994771328590197,0.9544771328590197,1.0,0.2272727272727273,False
Fine-tuned,0.7954545454545455,0.9996944880880831,0.9546944880880831,1.0,0.20454545454545447,False
Fine-tuned,0.8181818181818182,0.9998324477425224,0.9548324477425224,1.0,0.18181818181818177,False
Fine-tuned,0.8409090909090909,0.9999152008783229,0.9549152008783228,1.0,0.15909090909090906,False
Fine-tuned,0.8636363636363636,0.999961366618129,0.9549613666181289,1.0,0.13636363636363635,False
Fine-tuned,0.8863636363636364,0.9999847546158523,0.9549847546158523,1.0,0.11363636363636365,False
Fine-tuned,0.9090909090909092,0.999995114631749,0.9549951146317489,1.0,0.09090909090909083,False
Fine-tuned,0.9318181818181819,0.9999988735556293,0.9549988735556293,1.0,0.06818181818181812,False
Fine-tuned,0.9545454545454546,0.9999998575559452,0.9549998575559452,1.0,0.045454545454545414,False
Fine-tuned,0.9772727272727273,0.9999999958467186,0.9549999958467186,1.0,0.022727272727272707,False
Fine-tuned,1.0,1.0,0.955,1.0,0.0,False
