feature,group,value,module,n,condition
Cycle-1,Early1,-1.2882537930777438,Cycle,900,Early
Cycle-1,Early2,-0.9983626498618947,Cycle,1581,Early
Cycle-1,Early3,-1.038853396557582,Cycle,512,Early
Cycle-1,Mid1,2.018457499942404,Cycle,1340,Mid
Cycle-1,Mid2,1.8943232191628827,Cycle,1482,Mid
Cycle-1,Mid3,1.8336898691813115,Cycle,1011,Mid
Cycle-1,Late1,-0.6898104112870561,Cycle,1424,Late
Cycle-1,Late2,-0.7998363385054916,Cycle,661,Late
Cycle-1,Late3,-1.2255617760962603,Cycle,1399,Late
Cycle-2,Early1,-0.8299852738104407,Cycle,900,Early
Cycle-2,Early2,-0.5277253550655052,Cycle,1581,Early
Cycle-2,Early3,-0.7332710816728233,Cycle,512,Early
Cycle-2,Mid1,2.079012513661179,Cycle,1340,Mid
Cycle-2,Mid2,2.390764762906973,Cycle,1482,Mid
Cycle-2,Mid3,1.7323557655583828,Cycle,1011,Mid
Cycle-2,Late1,-0.6547156086956822,Cycle,1424,Late
Cycle-2,Late2,-0.7098901680424702,Cycle,661,Late
Cycle-2,Late3,-1.2635576052057094,Cycle,1399,Late
Cycle-3,Early1,-0.9640245732983028,Cycle,900,Early
Cycle-3,Early2,-0.6785797630426201,Cycle,1581,Early
Cycle-3,Early3,-0.8558000597295259,Cycle,512,Early
Cycle-3,Mid1,1.7679608159140723,Cycle,1340,Mid
Cycle-3,Mid2,1.8827362292837808,Cycle,1482,Mid
Cycle-3,Mid3,1.3178486019305686,Cycle,1011,Mid
Cycle-3,Late1,-1.3983091746554708,Cycle,1424,Late
Cycle-3,Late2,-0.8373121650788709,Cycle,661,Late
Cycle-3,Late3,-0.7965531904150669,Cycle,1399,Late
Cycle-4,Early1,-0.9676141003675093,Cycle,900,Early
Cycle-4,Early2,-0.9894848250191515,Cycle,1581,Early
Cycle-4,Early3,-0.9425372925547745,Cycle,512,Early
Cycle-4,Mid1,1.5471956021242774,Cycle,1340,Mid
Cycle-4,Mid2,1.6049317007391275,Cycle,1482,Mid
Cycle-4,Mid3,2.3314713647192677,Cycle,1011,Mid
Cycle-4,Late1,-0.8875488698012811,Cycle,1424,Late
Cycle-4,Late2,-1.456991404937012,Cycle,661,Late
Cycle-4,Late3,-1.0778842455449302,Cycle,1399,Late
Cycle-5,Early1,-0.8771263763276885,Cycle,900,Early
Cycle-5,Early2,-0.8437548776290033,Cycle,1581,Early
Cycle-5,Early3,-0.7789384861393482,Cycle,512,Early
Cycle-5,Mid1,1.6881798501639758,Cycle,1340,Mid
Cycle-5,Mid2,2.0404904306141223,Cycle,1482,Mid
Cycle-5,Mid3,2.0560451461821825,Cycle,1011,Mid
Cycle-5,Late1,-0.8515564563556358,Cycle,1424,Late
Cycle-5,Late2,-0.8102283913314703,Cycle,661,Late
Cycle-5,Late3,-1.0386907745820333,Cycle,1399,Late
Matrix-1,Early1,-0.7797855438579758,Matrix,900,Early
Matrix-1,Early2,-1.5002780960619595,Matrix,1581,Early
Matrix-1,Early3,-0.9570333142528332,Matrix,512,Early
Matrix-1,Mid1,-0.8511103277619423,Matrix,1340,Mid
Matrix-1,Mid2,-1.4248327927779612,Matrix,1482,Mid
Matrix-1,Mid3,-0.3175882621894903,Matrix,1011,Mid
Matrix-1,Late1,2.0284892028251424,Matrix,1424,Late
Matrix-1,Late2,2.0996811984847215,Matrix,661,Late
Matrix-1,Late3,1.9770452088327746,Matrix,1399,Late
Matrix-2,Early1,-1.1150295825532424,Matrix,900,Early
Matrix-2,Early2,-0.6731828836022264,Matrix,1581,Early
Matrix-2,Early3,-0.7664718250603049,Matrix,512,Early
Matrix-2,Mid1,-1.1565808480617863,Matrix,1340,Mid
Matrix-2,Mid2,-0.39007982808751807,Matrix,1482,Mid
Matrix-2,Mid3,-1.1593597193166176,Matrix,1011,Mid
Matrix-2,Late1,2.1332290492743864,Matrix,1424,Late
Matrix-2,Late2,1.5542454425855827,Matrix,661,Late
Matrix-2,Late3,1.3780339040062466,Matrix,1399,Late
Matrix-3,Early1,-0.8255379670703238,Matrix,900,Early
Matrix-3,Early2,-0.8185278644250816,Matrix,1581,Early
Matrix-3,Early3,-0.6866827929442338,Matrix,512,Early
Matrix-3,Mid1,-1.1759479392272496,Matrix,1340,Mid
Matrix-3,Mid2,-1.3231707513099504,Matrix,1482,Mid
Matrix-3,Mid3,-1.0478636908353987,Matrix,1011,Mid
Matrix-3,Late1,2.597181477569128,Matrix,1424,Late
Matrix-3,Late2,1.2777470717113677,Matrix,661,Late
Matrix-3,Late3,1.8179391459836869,Matrix,1399,Late
Matrix-4,Early1,-0.9439322846082732,Matrix,900,Early
Matrix-4,Early2,-1.6676733355120814,Matrix,1581,Early
Matrix-4,Early3,-0.7987351367966489,Matrix,512,Early
Matrix-4,Mid1,-1.2907583531599924,Matrix,1340,Mid
Matrix-4,Mid2,-0.7719315691604507,Matrix,1482,Mid
Matrix-4,Mid3,-1.2366393850242077,Matrix,1011,Mid
Matrix-4,Late1,1.989424632227741,Matrix,1424,Late
Matrix-4,Late2,1.738418797742744,Matrix,661,Late
Matrix-4,Late3,1.6846324317652366,Matrix,1399,Late
Matrix-5,Early1,-1.086785947258264,Matrix,900,Early
Matrix-5,Early2,-0.5226726705924836,Matrix,1581,Early
Matrix-5,Early3,-1.0920605554329161,Matrix,512,Early
Matrix-5,Mid1,-1.1113708644949083,Matrix,1340,Mid
Matrix-5,Mid2,-1.0187356070462017,Matrix,1482,Mid
Matrix-5,Mid3,-0.7080185668391049,Matrix,1011,Mid
Matrix-5,Late1,1.7324299419259703,Matrix,1424,Late
Matrix-5,Late2,1.8157239215735783,Matrix,661,Late
Matrix-5,Late3,2.2250615375017,Matrix,1399,Late
