id,x,y,group,parent
cell0_43,-4.072336023248269,1.6333723713026114,T cells,Immune
cell0_44,-3.9471056515484104,2.1987217169336546,T cells,Immune
cell0_45,-3.029797793205014,3.1534198186450135,T cells,Immune
cell0_46,-4.717917883142329,0.9546088659985377,T cells,Immune
cell0_47,-4.126303778015461,2.338551028448687,T cells,Immune
cell0_48,-3.548487216688464,1.9148908119036339,T cells,Immune
cell0_49,-3.910767189123964,1.5142333551299485,T cells,Immune
cell0_50,-3.1348947584438136,2.6427913140145325,T cells,Immune
cell0_51,-4.591999276833359,1.4087186615066098,T cells,Immune
cell0_52,-3.950066346946978,2.887945913500827,T cells,Immune
cell0_53,-4.303847637979755,1.8755836195608273,T cells,Immune
cell0_54,-4.2341963406086665,1.7364724336242976,T cells,Immune
cell0_55,-3.938343786382768,1.645718526822463,T cells,Immune
cell0_56,-3.900797089113933,1.9782993969704146,T cells,Immune
cell0_57,-4.274735963037277,2.6077206496426264,T cells,Immune
cell0_58,-3.327604419166601,1.6242551172130333,T cells,Immune
cell0_59,-4.104615756884564,1.9286861162575892,T cells,Immune
cell0_60,-2.969301773187241,3.057723620507371,T cells,Immune
cell0_61,-4.096034949200092,2.4597418182013677,T cells,Immune
cell0_62,-3.440043823252249,2.172029236297895,T cells,Immune
cell0_63,-3.7368559298463206,2.653419526730476,T cells,Immune
cell0_64,-2.3612352512585404,3.0427690259333726,T cells,Immune
cell0_65,-2.9571992733193277,2.4738136645467566,T cells,Immune
cell0_66,-4.644449701266482,1.112931932333506,T cells,Immune
cell0_67,-3.9982660483664234,2.350747870072051,T cells,Immune
cell0_68,-5.286856229680467,0.7958330332509593,T cells,Immune
cell0_69,-3.5196710208342745,2.1161283860364617,T cells,Immune
cell0_70,-4.347496863529632,1.4995383482457147,T cells,Immune
cell0_71,-4.110701940778131,2.0467575308604316,T cells,Immune
cell0_72,-3.873423303578862,2.886642063669652,T cells,Immune
cell0_73,-5.075968400309356,2.810768380904649,T cells,Immune
cell0_74,-4.159856470928307,2.2427954241045946,T cells,Immune
cell0_75,-3.9305237933913064,1.7727383804904098,T cells,Immune
cell0_76,-4.334459204565602,1.2248348169686043,T cells,Immune
cell0_77,-2.956453317608096,2.4395988600789296,T cells,Immune
cell0_78,-3.756261337925091,2.283825972416316,T cells,Immune
cell0_79,-2.8368475181222705,2.666680761574314,T cells,Immune
cell0_80,-3.8281929602137823,2.000905712009408,T cells,Immune
cell0_81,-5.019090615721745,2.0469300102322587,T cells,Immune
cell0_82,-4.40093648677645,1.1583671438926784,T cells,Immune
cell0_83,-5.490993780123642,0.9864842929486826,T cells,Immune
cell0_84,-3.852905364706308,2.5548653978133546,T cells,Immune
cell0_85,-3.8239726499338356,1.7200880319410405,T cells,Immune
cell0_86,-3.4879311825128347,2.1206713520832565,T cells,Immune
cell0_87,-3.822146109395419,1.7515475998821046,T cells,Immune
cell0_88,-4.2777600637646485,2.622861586335582,T cells,Immune
cell0_89,-3.4697922707304443,2.3644703203615305,T cells,Immune
cell0_90,-4.616373475009177,1.6661608779661643,T cells,Immune
cell0_91,-3.1829617648157345,1.5926796808506405,T cells,Immune
cell0_92,-4.3884348016052455,2.491214556563767,T cells,Immune
cell0_93,-4.932050353618747,1.4972386908731308,T cells,Immune
cell0_94,-3.9026777821658403,2.2867507490266226,T cells,Immune
cell0_95,-4.4647617067826255,1.4905389491626049,T cells,Immune
cell0_96,-4.990118615273122,1.5440720405834956,T cells,Immune
cell0_97,-4.002081700307038,1.5199802527982738,T cells,Immune
cell0_98,-2.712978453884766,2.1457319660351737,T cells,Immune
cell0_99,-3.677147059535639,1.7749090424852412,T cells,Immune
cell0_100,-4.848837352349099,2.0337122129736156,T cells,Immune
cell0_101,-4.044792476433037,2.857163028158559,T cells,Immune
cell0_102,-4.181029446329948,1.90254156027284,T cells,Immune
cell0_103,-4.452581350738639,2.0965124202129584,T cells,Immune
cell0_104,-3.421973022015178,2.1250753745424182,T cells,Immune
cell0_105,-4.20525508597863,2.232851957105134,T cells,Immune
cell0_106,-2.9625217642530064,2.2625440602735996,T cells,Immune
cell0_107,-4.015939246283367,1.8714000114326381,T cells,Immune
cell0_108,-4.550101834803984,1.5154894760818778,T cells,Immune
cell0_109,-3.588103066138967,2.5236486623413263,T cells,Immune
cell0_110,-3.859361715072788,1.850676022201178,T cells,Immune
cell0_111,-4.193857296429776,2.044731509483794,T cells,Immune
cell0_112,-3.2397403600367514,1.7740827132734955,T cells,Immune
cell0_113,-3.2669482446871823,2.66373627683131,T cells,Immune
cell0_114,-4.3017119024339205,2.0044482029789847,T cells,Immune
cell0_115,-4.107797087935068,2.0496879939354513,T cells,Immune
cell0_116,-3.866833651943888,1.8155542742647481,T cells,Immune
cell0_117,-3.279684990359982,3.199040015567279,T cells,Immune
cell0_118,-3.103187654422014,2.680240405052499,T cells,Immune
cell0_119,-4.203060689422656,1.4558499555514413,T cells,Immune
cell0_120,-3.4350554667368725,2.5456906712725744,T cells,Immune
cell0_121,-3.7083335021574766,1.7379160640768219,T cells,Immune
cell0_122,-4.247467710392339,2.011551701640638,T cells,Immune
cell0_123,-4.195258637112831,1.8724326930414705,T cells,Immune
cell0_124,-3.2628452886132377,2.3368183075239073,T cells,Immune
cell0_125,-4.702351990996835,1.7398572241056112,T cells,Immune
cell0_126,-5.351385731696392,2.0267658791281282,T cells,Immune
cell0_127,-3.8727312551878152,2.3418030941155976,T cells,Immune
cell0_128,-5.216023455344625,1.3806760874754604,T cells,Immune
cell0_129,-3.4102483274030364,1.0535041447713611,T cells,Immune
cell0_130,-4.450502637590239,0.9768209936239887,T cells,Immune
cell0_131,-4.106967299924593,2.1333908091091427,T cells,Immune
cell0_132,-4.9311200213333555,2.068562127731185,T cells,Immune
cell0_133,-3.107465645363366,2.6465969689215476,T cells,Immune
cell0_134,-4.62523992416947,2.241953529952874,T cells,Immune
cell0_135,-3.2980647461459385,1.9863257702682549,T cells,Immune
cell0_136,-3.635000290996479,2.011794549179588,T cells,Immune
cell0_137,-2.8700631202018156,3.0761747740337277,T cells,Immune
cell0_138,-4.6075701212699745,1.7215556471621278,T cells,Immune
cell0_139,-3.454679682597983,2.0352869949920485,T cells,Immune
cell0_140,-3.3539993912805497,3.084014595994845,T cells,Immune
cell0_141,-3.904372325281421,1.16973094928419,T cells,Immune
cell0_142,-3.9936533595875523,2.9389357929171958,T cells,Immune
cell0_143,-3.7258204632829224,1.6938990166587098,T cells,Immune
cell0_144,-3.845347746755524,1.4894046496383502,T cells,Immune
cell0_145,-4.225516468470033,2.1340958477273726,T cells,Immune
cell0_146,-3.5821394247371208,1.631585075361408,T cells,Immune
cell0_147,-3.9696889563916984,1.5827434483856504,T cells,Immune
cell0_148,-4.889016585178201,2.125516410623556,T cells,Immune
cell0_149,-4.522866321850318,1.3591621548308312,T cells,Immune
cell0_150,-4.77801960459902,0.8043139427906048,T cells,Immune
cell0_151,-2.870643417690748,3.3712386345485292,T cells,Immune
cell0_152,-3.686835122180481,2.2338106146938483,T cells,Immune
cell0_153,-3.618710437209687,2.307302337447332,T cells,Immune
cell0_154,-3.0945090970866964,2.313165818733942,T cells,Immune
cell0_155,-4.975011712555895,0.948450180088082,T cells,Immune
cell0_156,-5.505642182381299,1.4534308839511907,T cells,Immune
cell0_157,-4.632729308203815,1.704789650143622,T cells,Immune
cell0_158,-4.927353824729675,1.413585315338316,T cells,Immune
cell0_159,-3.0909052810938795,2.4028154873870577,T cells,Immune
cell0_160,-4.178316890490139,2.342811135043311,T cells,Immune
cell0_161,-5.055526256266416,2.080670322837189,T cells,Immune
cell0_162,-4.338558127041656,1.5432817557580858,T cells,Immune
cell0_163,-4.419271931133097,2.104667665314475,T cells,Immune
cell0_164,-3.98601309533722,2.0073007515141486,T cells,Immune
cell0_165,-4.069700833002055,1.8148061745887076,T cells,Immune
cell0_166,-4.4154546949242865,1.3004828636370611,T cells,Immune
cell0_167,-4.689749729970303,1.6976497328280395,T cells,Immune
cell0_168,-4.237047398191198,2.2514828428228864,T cells,Immune
cell0_169,-4.220017017287116,1.8350784584073154,T cells,Immune
cell0_170,-3.5019456342055597,2.103003689908863,T cells,Immune
cell0_171,-2.9879540108516416,2.7713734274017074,T cells,Immune
cell0_172,-4.3247599722134344,1.6583524412929511,T cells,Immune
cell0_173,-4.126406222695462,1.7136450979432347,T cells,Immune
cell0_174,-5.082485171853197,2.0508837902391965,T cells,Immune
cell0_175,-4.570813795203606,1.7060566652557574,T cells,Immune
cell0_176,-5.462832256065471,1.5098662969198178,T cells,Immune
cell0_177,-4.348249171775233,1.886585051126963,T cells,Immune
cell0_178,-4.673048457440069,1.1599628516800542,T cells,Immune
cell0_179,-4.633095914516017,1.9947954425055399,T cells,Immune
cell0_180,-4.438776143030499,2.270028539936906,T cells,Immune
cell0_181,-3.790702932511233,2.2000154647256687,T cells,Immune
cell0_182,-3.957375136044531,2.5322288890670013,T cells,Immune
cell0_183,-5.0696936819048934,1.2479803000286518,T cells,Immune
cell0_184,-4.454876417457987,2.2626550049096275,T cells,Immune
cell0_185,-4.860566453938112,1.7026450384842844,T cells,Immune
cell0_186,-3.4817347855054814,2.5748804609065647,T cells,Immune
cell0_187,-4.412394528708346,2.209066655770616,T cells,Immune
cell0_188,-3.1215249778184133,2.170415938031886,T cells,Immune
cell0_189,-2.834472596330544,2.821944864680842,T cells,Immune
cell0_190,-3.8886524447031214,2.1435646377755946,T cells,Immune
cell0_191,-4.172346195673157,1.6969908991354716,T cells,Immune
cell0_192,-3.884689520636377,2.1332092835884295,T cells,Immune
cell0_193,-4.34797672209617,2.5217233659408786,T cells,Immune
cell0_194,-3.852525131768551,2.4779650461124705,T cells,Immune
cell0_195,-3.154795495319661,1.9645892789330461,T cells,Immune
cell0_196,-3.4056782607055243,2.478458012531156,T cells,Immune
cell0_197,-4.737831666647562,2.3478840723930032,T cells,Immune
cell0_198,-3.6568340038889406,2.1765568068098062,T cells,Immune
cell0_199,-2.9282543728340222,2.18744128248117,T cells,Immune
cell0_200,-3.6844039880630195,1.9446355402875444,T cells,Immune
cell0_201,-3.3319865198418603,2.0724895083941144,T cells,Immune
cell0_202,-3.7646993716738706,2.4827931563838908,T cells,Immune
cell0_203,-4.894369310954263,1.3449699016751366,T cells,Immune
cell0_204,-4.1739987104081795,2.1860962998433218,T cells,Immune
cell0_205,-4.410777475371024,1.5853993082055664,T cells,Immune
cell0_206,-3.371071692299022,3.5039065871429718,T cells,Immune
cell0_207,-4.0050434747398596,1.2579252715966702,T cells,Immune
cell0_208,-4.339793851365689,2.7220621257897246,T cells,Immune
cell0_209,-4.398557853791654,1.796042501879267,T cells,Immune
cell0_210,-4.302303257682983,2.23754037624318,T cells,Immune
cell0_211,-4.226567356971316,1.5255366801591896,T cells,Immune
cell0_212,-4.393479939235581,1.8515060248730386,T cells,Immune
cell0_213,-4.657442694868644,1.850811430677259,T cells,Immune
cell0_214,-3.893353538912905,2.067942744963742,T cells,Immune
cell0_215,-4.221683876487963,1.628955539759058,T cells,Immune
cell0_216,-3.940700584636571,1.5145637109406676,T cells,Immune
cell0_217,-3.7833031742011567,1.551382326053334,T cells,Immune
cell0_218,-3.364769919420345,2.7962399803612223,T cells,Immune
cell0_219,-3.666812681008273,1.9803410142335411,T cells,Immune
cell0_220,-4.122807279468738,1.9003147241941778,T cells,Immune
cell0_221,-3.506918072655439,2.3624516838134655,T cells,Immune
cell0_222,-3.7834126692651324,2.0641567535684735,T cells,Immune
cell0_223,-4.479532009574688,1.8871785696684351,T cells,Immune
cell0_224,-2.982732030879119,1.768581443420472,T cells,Immune
cell0_225,-3.987333130257731,1.0055297955681395,T cells,Immune
cell0_226,-3.7744806740382364,1.9071819711677909,T cells,Immune
cell0_227,-4.311242097963556,2.5591025948132824,T cells,Immune
cell0_228,-3.7307358211469337,1.8702470839630772,T cells,Immune
cell0_229,-3.4938436701352584,1.9324447614673308,T cells,Immune
cell0_230,-3.6388712092339133,2.8646241686861393,T cells,Immune
cell0_231,-3.0172014316091826,2.208629126701208,T cells,Immune
cell0_232,-4.677107457855724,1.4696000174146457,T cells,Immune
cell0_233,-3.335722412936875,1.7199257749025876,T cells,Immune
cell0_234,-3.5959896775454196,2.231143519442548,T cells,Immune
cell0_235,-5.045577175041629,1.6348131987165773,T cells,Immune
cell0_236,-4.23900585519041,2.367507041551934,T cells,Immune
cell0_237,-3.6447781889850974,2.017545780035903,T cells,Immune
cell0_238,-3.5022518984175224,2.5823048138892792,T cells,Immune
cell0_239,-2.5534067816192634,2.1587597991340353,T cells,Immune
cell0_240,-4.646487142310732,1.500021621002336,T cells,Immune
cell0_241,-4.434322857526407,2.0417848302516703,T cells,Immune
cell0_242,-3.497804288069671,2.368793099839841,T cells,Immune
cell0_243,-4.769337257764395,1.541573768985686,T cells,Immune
cell0_244,-3.7506018930656664,2.217199083076863,T cells,Immune
cell0_245,-4.058889577747125,2.264931192883987,T cells,Immune
cell0_246,-3.7689745833257255,2.009802269702255,T cells,Immune
cell0_247,-3.9011694182418784,1.880980748716889,T cells,Immune
cell0_248,-3.8895585488799167,2.1818096069330015,T cells,Immune
cell0_249,-4.819540145688807,1.5595941709054741,T cells,Immune
cell0_250,-4.103414314286028,1.7555550043660653,T cells,Immune
cell0_251,-4.058248139632416,2.291214532552068,T cells,Immune
cell0_252,-3.43308350001659,1.8978096334001382,T cells,Immune
cell0_253,-4.194433604686527,1.7411094706955508,T cells,Immune
cell0_254,-3.9953744570571046,3.165211668461332,T cells,Immune
cell0_255,-4.214415480660295,1.2059014281246565,T cells,Immune
cell0_256,-3.869706048388468,2.2323361889969267,T cells,Immune
cell0_257,-4.190096108409723,1.9405353003825083,T cells,Immune
cell0_258,-3.447232935131261,2.5858792756664664,T cells,Immune
cell0_259,-5.53094914555828,0.863914861590616,T cells,Immune
cell1_0,-3.014439318994544,3.110188754629501,B cells,Immune
cell1_1,-1.6433924174663483,4.027459292267845,B cells,Immune
cell1_2,-2.706742948399057,4.192958739208655,B cells,Immune
cell1_3,-1.9261428090054244,3.4761632406391345,B cells,Immune
cell1_4,-1.5651446141755148,4.678046360011168,B cells,Immune
cell1_5,-2.0020347000912904,3.994228543356829,B cells,Immune
cell1_6,-2.0481133466142376,3.6589451271058437,B cells,Immune
cell1_7,-2.755127988101754,3.2428688445736227,B cells,Immune
cell1_8,-2.69475732657296,3.0780764021287377,B cells,Immune
cell1_9,-1.7648683114529748,3.8850444884310695,B cells,Immune
cell1_10,-2.87776121197351,3.9927079037393094,B cells,Immune
cell1_11,-1.9003041264608336,4.425894188461042,B cells,Immune
cell1_12,-2.608890019183406,3.953328566330765,B cells,Immune
cell1_13,-0.980726416288694,4.155382552250395,B cells,Immune
cell1_14,-2.468963680656424,3.862260188606281,B cells,Immune
cell1_15,-2.208701096091052,4.295932507377936,B cells,Immune
cell1_16,-2.2888766114004166,3.893112886226365,B cells,Immune
cell1_17,-1.4239664322758139,4.441543085827256,B cells,Immune
cell1_18,-2.4462146073399165,3.664886479323229,B cells,Immune
cell1_19,-0.7875447311717831,4.780027950530585,B cells,Immune
cell1_20,-2.6027890803313882,3.8608173114322493,B cells,Immune
cell1_21,-2.8874220305108906,3.5776496386211867,B cells,Immune
cell1_22,-1.6380009794294046,3.738425426916959,B cells,Immune
cell1_23,-0.8922757866582673,4.385641616861525,B cells,Immune
cell1_24,-1.5135889503931512,3.0844792800466765,B cells,Immune
cell1_25,-2.3012119835496123,4.130845264028708,B cells,Immune
cell1_26,-2.4918110424048145,4.239147167471621,B cells,Immune
cell1_27,-2.2536043187063535,4.814860062458296,B cells,Immune
cell1_28,-2.0560222895365343,3.7225334075990455,B cells,Immune
cell1_29,-1.9012537056272676,3.7714644162795095,B cells,Immune
cell1_30,-2.452545149841276,3.918792673699449,B cells,Immune
cell1_31,-1.533986057367852,4.589428045083123,B cells,Immune
cell1_32,-2.6996226862855393,3.062572507690536,B cells,Immune
cell1_33,-2.000751640129002,4.68113264771266,B cells,Immune
cell1_34,-1.38607343509459,4.6438818621486835,B cells,Immune
cell1_35,-2.4073064196403555,3.5014154674750735,B cells,Immune
cell1_36,-1.986718636628586,3.8464280968905715,B cells,Immune
cell1_37,-2.180070805979195,4.461864376513373,B cells,Immune
cell1_38,-2.528517624490681,3.0189065910631623,B cells,Immune
cell1_39,-2.0883914191519626,3.482995787765337,B cells,Immune
cell1_40,-0.783127450017715,4.755322596419688,B cells,Immune
cell1_41,-2.2179336496728927,4.52539125008828,B cells,Immune
cell1_42,-2.003400181473847,4.390552038285061,B cells,Immune
cell1_43,-2.332685006335433,4.118027660918081,B cells,Immune
cell1_44,-1.8748227671443942,4.3852116349695915,B cells,Immune
cell1_45,-2.032154692581026,4.815919000741506,B cells,Immune
cell1_46,-1.403201318048069,3.89968450629256,B cells,Immune
cell1_47,-1.6876453138065464,3.8655314165583428,B cells,Immune
cell1_48,-1.9902845427867852,4.422399505255553,B cells,Immune
cell1_49,-1.7514450118923226,3.6303184568759583,B cells,Immune
cell1_50,-1.2959348097524703,4.409415418489527,B cells,Immune
cell1_51,-3.0325208813528883,3.3250391668689803,B cells,Immune
cell1_52,-1.2869244217772584,4.564824230175203,B cells,Immune
cell1_53,-0.9445237851092103,3.7279595255547604,B cells,Immune
cell1_54,-2.573897144639786,2.9377566302683458,B cells,Immune
cell1_55,-1.6266383986973114,4.437730993060908,B cells,Immune
cell1_56,-1.9446204751552167,4.115715281019735,B cells,Immune
cell1_57,-1.4214430496244868,5.035580603385103,B cells,Immune
cell1_58,-1.7016530990310854,3.775935705710972,B cells,Immune
cell1_59,-1.9302951837631621,4.14271274606,B cells,Immune
cell1_60,-2.2305242988534477,4.305323975084631,B cells,Immune
cell1_61,-1.5369088295374695,3.6981109455486703,B cells,Immune
cell1_62,-1.4666696732058315,4.876095119361041,B cells,Immune
cell1_63,-1.051699318366735,4.595576222874582,B cells,Immune
cell1_64,-1.43364941023232,4.185173967527405,B cells,Immune
cell1_65,-2.284887835212869,3.8555905216943676,B cells,Immune
cell1_66,-2.0568589806339808,3.2867450310812023,B cells,Immune
cell1_67,-2.475776179698677,3.021541126813127,B cells,Immune
cell1_68,-2.689880579355223,3.7744208749465957,B cells,Immune
cell1_69,-2.0698874865886596,4.144016579281189,B cells,Immune
cell1_70,-1.480452185338088,3.544037511054408,B cells,Immune
cell1_71,-2.407158825570128,3.670450793394914,B cells,Immune
cell1_72,-1.528749108107405,4.907494815177527,B cells,Immune
cell1_73,-2.0944863446311266,4.540965558201948,B cells,Immune
cell1_74,-2.380051543066929,4.4389064771846165,B cells,Immune
cell1_75,-1.7614256682683702,3.9705831075483795,B cells,Immune
cell1_76,-1.0651448926471463,3.5868588369994145,B cells,Immune
cell1_77,-0.8485502719581239,4.6769050291020635,B cells,Immune
cell1_78,-2.0935058760954988,3.8367507782900994,B cells,Immune
cell1_79,-2.7684689763268953,3.2126765522178484,B cells,Immune
cell1_80,-1.9964772621906617,4.07659660591056,B cells,Immune
cell1_81,-0.164984392948887,4.466811901827725,B cells,Immune
cell1_82,-2.7517030997168694,3.8538007019739435,B cells,Immune
cell1_83,-1.8084274698659584,4.34682484664465,B cells,Immune
cell1_84,-1.6746464505150556,4.119378643361248,B cells,Immune
cell1_85,-0.9397852876288637,4.891506664050258,B cells,Immune
cell1_86,-1.9223156460842707,4.1006943226745705,B cells,Immune
cell1_87,-3.449655579170552,4.471752846107358,B cells,Immune
cell1_88,-2.7587356351995123,3.3637536911153925,B cells,Immune
cell1_89,-2.878109973581204,3.588169550705336,B cells,Immune
cell1_90,-2.405438854633205,3.7069336740525065,B cells,Immune
cell1_91,-2.7279328698182415,4.014790048582629,B cells,Immune
cell1_92,-2.445685962370968,3.933817353735311,B cells,Immune
cell1_93,-2.380315122722807,4.058995950142925,B cells,Immune
cell1_94,-2.5973541444869905,3.1668792843511118,B cells,Immune
cell1_95,-1.6344297275701483,4.0962334015922055,B cells,Immune
cell1_96,-0.7713877724309808,4.755307918701975,B cells,Immune
cell1_97,-2.3800539498301707,4.184634387371837,B cells,Immune
cell1_98,-2.558176390464602,3.7226226300318475,B cells,Immune
cell1_99,-1.4419394501742797,4.697129172474778,B cells,Immune
cell1_100,-1.7962861617358965,3.818204639707048,B cells,Immune
cell1_101,-2.4831516454734985,3.8651158762841855,B cells,Immune
cell1_102,-1.565670019193488,4.769773071042293,B cells,Immune
cell1_103,-1.6667893825728748,3.9015991117535096,B cells,Immune
cell1_104,-1.244706283814188,4.015434640010144,B cells,Immune
cell1_105,-1.5248176643274092,4.121172228425021,B cells,Immune
cell1_106,-2.83918867601737,3.9199026207277967,B cells,Immune
cell1_107,-2.5927978509787457,4.364214701232938,B cells,Immune
cell1_108,-2.648251248009985,3.7865499073395292,B cells,Immune
cell1_109,-1.0823702710088372,4.882522830815976,B cells,Immune
cell1_110,-2.629104315690811,3.7836642408909626,B cells,Immune
cell1_111,-3.236626258598169,3.8937694344649874,B cells,Immune
cell1_112,-2.3903521958738483,4.812988262022535,B cells,Immune
cell1_113,-2.2784651192683545,3.749357899832106,B cells,Immune
cell1_114,-2.708551848501761,4.315800903442006,B cells,Immune
cell1_115,-2.359518193605549,4.135808797978752,B cells,Immune
cell1_116,-2.8661770310347383,3.7345756453173493,B cells,Immune
cell1_117,-1.942610726163106,4.348957788946765,B cells,Immune
cell1_118,-2.165407614842426,4.0333826492187015,B cells,Immune
cell1_119,-1.7460653497674183,3.8338270565201817,B cells,Immune
cell1_120,-2.162924111004742,3.861216252466472,B cells,Immune
cell1_121,-1.8698726684508067,4.024505300941609,B cells,Immune
cell1_122,-2.266612863080016,4.721374488152284,B cells,Immune
cell1_123,-1.994357771869778,3.494183344036583,B cells,Immune
cell1_124,-2.0912961352863704,4.3513935123690795,B cells,Immune
cell1_125,-1.2600211685928118,3.6906622024711178,B cells,Immune
cell1_126,-1.3755331209487371,2.946282561988486,B cells,Immune
cell1_127,-1.557022908487433,4.64872258282044,B cells,Immune
cell1_128,-1.4725211424420075,4.6060115960795365,B cells,Immune
cell1_129,-1.736850818972898,3.92867881985514,B cells,Immune
cell1_130,-2.5555939763451803,3.271540101835778,B cells,Immune
cell1_131,-1.959370677940088,3.234486506482397,B cells,Immune
cell1_132,-1.6502498289335334,3.3313522524134003,B cells,Immune
cell1_133,-1.9158745098891483,3.869462993387317,B cells,Immune
cell1_134,-2.638410176971368,4.23444007807052,B cells,Immune
cell1_135,-2.594357704544023,3.3263380307657657,B cells,Immune
cell1_136,-1.967567438924327,3.9557024125930744,B cells,Immune
cell1_137,-2.375815849227152,3.714920203276419,B cells,Immune
cell1_138,-1.8445199704513824,3.2682333007666213,B cells,Immune
cell1_139,-0.6604677165305113,4.923716643065515,B cells,Immune
cell1_140,-1.6020217812577469,4.802536275191905,B cells,Immune
cell1_141,-1.2509613718082964,4.355330308923891,B cells,Immune
cell1_142,-2.667359752987868,4.085925157312674,B cells,Immune
cell1_143,-1.0920713960907835,4.756813024770603,B cells,Immune
cell1_144,-0.764579267460711,4.047659820981617,B cells,Immune
cell1_145,-2.55296165031713,3.4888657128820673,B cells,Immune
cell1_146,-0.8102364294367694,4.36280672550071,B cells,Immune
cell1_147,-1.1824148520353441,4.3771687143998514,B cells,Immune
cell1_148,-1.7932280609816422,4.971780067717082,B cells,Immune
cell1_149,-1.6025536787478019,4.1792873335503264,B cells,Immune
cell1_150,-2.1366913908813876,4.343980532080101,B cells,Immune
cell1_151,-2.2860713096242664,4.133196068331256,B cells,Immune
cell1_152,-1.5322617651515262,4.628852631586433,B cells,Immune
cell1_153,-2.0732072896913833,4.404074676364571,B cells,Immune
cell1_154,-1.9287272508774433,3.8118160562778165,B cells,Immune
cell1_155,-1.411419954479566,4.699106327575153,B cells,Immune
cell1_156,-2.7942391268055813,3.31451252065063,B cells,Immune
cell1_157,-1.612106995118761,4.16345497043936,B cells,Immune
cell1_158,-3.5238306603830836,3.3749307075269726,B cells,Immune
cell1_159,-2.8016376202291307,4.040919000846857,B cells,Immune
cell1_160,-1.8210466069842892,4.853098270470938,B cells,Immune
cell1_161,-2.366593432527647,3.2803300246058025,B cells,Immune
cell1_162,-3.3610434472416966,3.5793387211555925,B cells,Immune
cell1_163,-1.7049968935571416,4.126942662641705,B cells,Immune
cell1_164,-2.3283592925449814,4.047749475915368,B cells,Immune
cell1_165,-1.619597284028835,3.911781990136945,B cells,Immune
cell1_166,-2.0926828287233077,4.039135953851742,B cells,Immune
cell1_167,-1.3833950542994766,3.4568086547081442,B cells,Immune
cell1_168,-1.256963165248067,4.0806958223019345,B cells,Immune
cell1_169,-1.100083003938657,4.575056534248174,B cells,Immune
cell1_170,-2.2914203722147417,3.3094975574803227,B cells,Immune
cell1_171,-2.4351053348973397,4.156780122214374,B cells,Immune
cell1_172,-3.2377588915782525,2.3687882677643253,B cells,Immune
cell1_173,-1.342906180807829,4.1251199243808,B cells,Immune
cell1_174,-1.2171238382414904,3.487660704343079,B cells,Immune
cell1_175,-2.0164127357265724,3.4287642050635334,B cells,Immune
