model,recall,precision,lower,upper,threshold,operating_point
Fine-tuned,0.11363636363636365,0.9988994412096168,0.9538994412096168,1.0,0.8863636363636364,False
Fine-tuned,0.13636363636363635,0.9980982344102178,0.9530982344102178,1.0,0.8636363636363636,False
Fine-tuned,0.1590909090909091,0.9969800666791886,0.9519800666791886,1.0,0.8409090909090909,False
Fine-tuned,0.18181818181818182,0.9954921111945906,0.9504921111945905,1.0,0.8181818181818181,False
Fine-tuned,0.20454545454545456,0.9935815411344854,0.9485815411344853,1.0,0.7954545454545454,False
Fine-tuned,0.2272727272727273,0.9911955296769346,0.9461955296769345,1.0,0.7727272727272727,False
Fine-tuned,0.25,0.98828125,0.94328125,1.0,0.75,False
Fine-tuned,0.2727272727272727,0.9847858752817431,0.9397858752817431,1.0,0.7272727272727273,False
Fine-tuned,0.29545454545454547,0.9806565787002254,0.9356565787002253,1.0,0.7045454545454546,False
Fine-tuned,0.3181818181818182,0.9758405334335086,0.9308405334335086,1.0,0.6818181818181819,False
Fine-tuned,0.34090909090909094,0.9702849126596544,0.9252849126596544,1.0,0.6590909090909091,False
Fine-tuned,0.36363636363636365,0.9639368895567243,0.9189368895567243,1.0,0.6363636363636364,False
Fine-tuned,0.38636363636363635,0.9567436373027799,0.9117436373027799,1.0,0.6136363636363636,False
Fine-tuned,0.4090909090909091,0.9486523290758828,0.9036523290758828,0.9936523290758829,0.5909090909090908,False
Fine-tuned,0.4318181818181818,0.9396101380540947,0.8946101380540946,0.9846101380540947,0.5681818181818181,False
Fine-tuned,0.4545454545454546,0.9295642374154771,0.8845642374154771,0.9745642374154772,0.5454545454545454,False
Fine-tuned,0.4772727272727273,0.9184618003380917,0.8734618003380916,0.9634618003380917,0.5227272727272727,False
Fine-tuned,0.5,0.90625,0.86125,0.95125,0.5,True
Fine-tuned,0.5227272727272727,0.8928760095792637,0.8478760095792637,0.9378760095792638,0.4772727272727273,False
Fine-tuned,0.5454545454545454,0.8782870022539444,0.8332870022539444,0.9232870022539444,0.4545454545454546,False
Fine-tuned,0.5681818181818182,0.8624301512021036,0.8174301512021036,0.9074301512021037,0.43181818181818177,False
Fine-tuned,0.5909090909090909,0.8452526296018031,0.8002526296018031,0.8902526296018032,0.40909090909090906,False
Fine-tuned,0.6136363636363636,0.8267016106311045,0.7817016106311044,0.8717016106311045,0.38636363636363635,False
Fine-tuned,0.6363636363636364,0.8067242674680691,0.7617242674680691,0.8517242674680692,0.36363636363636365,False
Fine-tuned,0.6590909090909091,0.7852677732907589,0.7402677732907589,0.830267773290759,0.34090909090909094,False
Fine-tuned,0.6818181818181819,0.7622793012772351,0.717279301277235,0.8072793012772351,0.3181818181818181,False
Fine-tuned,0.7045454545454546,0.7377060246055597,0.6927060246055596,0.7827060246055597,0.2954545454545454,False
Fine-tuned,0.7272727272727273,0.7114951164537942,0.6664951164537941,0.7564951164537942,0.2727272727272727,False
Fine-tuned,0.75,0.68359375,0.63859375,0.72859375,0.25,False
Fine-tuned,0.7727272727272727,0.6539490984222389,0.6089490984222389,0.698949098422239,0.2272727272727273,False
Fine-tuned,0.7954545454545455,0.6225083348985725,0.5775083348985725,0.6675083348985725,0.20454545454545447,False
Fine-tuned,0.8181818181818182,0.5892186326070623,0.5442186326070623,0.6342186326070623,0.18181818181818177,False
Fine-tuned,0.8409090909090909,0.5540271647257701,0.50902716472577,0.5990271647257701,0.15909090909090906,False
Fine-tuned,0.8636363636363636,0.5168811044327573,0.47188110443275727,0.5618811044327573,0.13636363636363635,False
Fine-tuned,0.8863636363636364,0.47772762490608567,0.4327276249060857,0.5227276249060857,0.11363636363636365,False
Fine-tuned,0.9090909090909092,0.43651389932381646,0.39151389932381647,0.48151389932381644,0.09090909090909083,False
Fine-tuned,0.9318181818181819,0.3931871008640119,0.3481871008640119,0.43818710086401186,0.06818181818181812,False
Fine-tuned,0.9545454545454546,0.3476944027047332,0.3026944027047332,0.39269440270473316,0.045454545454545414,False
Fine-tuned,0.9772727272727273,0.29998297802404206,0.2549829780240421,0.34498297802404204,0.022727272727272707,False
Fine-tuned,1.0,0.25,0.20500000000000002,0.295,0.0,False
