item,set
feature_5_25,Protein
feature_5_26,RNA
feature_5_26,Protein
feature_6_0,RNA
feature_6_0,Spatial
feature_6_1,RNA
feature_6_1,Spatial
feature_6_2,RNA
feature_6_2,Spatial
feature_6_3,RNA
feature_6_3,Spatial
feature_6_4,RNA
feature_6_4,Spatial
feature_6_5,RNA
feature_6_5,Spatial
feature_6_6,RNA
feature_6_6,Spatial
feature_6_7,RNA
feature_6_7,Spatial
feature_6_8,RNA
feature_6_8,Spatial
feature_6_9,RNA
feature_6_9,Spatial
feature_6_10,RNA
feature_6_10,Spatial
feature_6_11,RNA
feature_6_11,Spatial
feature_6_12,RNA
feature_6_12,Spatial
feature_6_13,RNA
feature_6_13,Spatial
feature_6_14,RNA
feature_6_14,Spatial
feature_6_15,RNA
feature_6_15,Spatial
feature_6_16,RNA
feature_6_16,Spatial
feature_6_17,RNA
feature_6_17,Spatial
feature_6_18,RNA
feature_6_18,Spatial
feature_6_19,RNA
feature_6_19,Spatial
feature_6_20,RNA
feature_6_20,Spatial
feature_6_21,RNA
feature_6_21,Spatial
feature_6_22,RNA
feature_6_22,Spatial
feature_6_23,RNA
feature_6_23,Spatial
feature_7_0,RNA
feature_7_0,ATAC
feature_7_0,Protein
feature_7_1,RNA
feature_7_1,ATAC
feature_7_1,Protein
feature_7_2,RNA
feature_7_2,ATAC
feature_7_2,Protein
feature_7_3,RNA
feature_7_3,ATAC
feature_7_3,Protein
feature_7_4,RNA
feature_7_4,ATAC
feature_7_4,Protein
feature_7_5,RNA
feature_7_5,ATAC
feature_7_5,Protein
feature_7_6,RNA
feature_7_6,ATAC
feature_7_6,Protein
feature_7_7,RNA
feature_7_7,ATAC
feature_7_7,Protein
feature_7_8,RNA
feature_7_8,ATAC
feature_7_8,Protein
feature_7_9,RNA
feature_7_9,ATAC
feature_7_9,Protein
feature_7_10,RNA
feature_7_10,ATAC
feature_7_10,Protein
feature_7_11,RNA
feature_7_11,ATAC
feature_7_11,Protein
feature_7_12,RNA
feature_7_12,ATAC
feature_7_12,Protein
feature_7_13,RNA
feature_7_13,ATAC
feature_7_13,Protein
feature_7_14,RNA
feature_7_14,ATAC
feature_7_14,Protein
feature_7_15,RNA
feature_7_15,ATAC
feature_7_15,Protein
feature_7_16,RNA
feature_7_16,ATAC
feature_7_16,Protein
feature_7_17,RNA
feature_7_17,ATAC
feature_7_17,Protein
feature_7_18,RNA
feature_7_18,ATAC
feature_7_18,Protein
feature_7_19,RNA
feature_7_19,ATAC
feature_7_19,Protein
feature_7_20,RNA
feature_7_20,ATAC
feature_7_20,Protein
feature_8_0,RNA
feature_8_0,ATAC
feature_8_0,Protein
feature_8_0,Spatial
feature_8_1,RNA
feature_8_1,ATAC
feature_8_1,Protein
feature_8_1,Spatial
feature_8_2,RNA
feature_8_2,ATAC
feature_8_2,Protein
feature_8_2,Spatial
feature_8_3,RNA
feature_8_3,ATAC
feature_8_3,Protein
feature_8_3,Spatial
feature_8_4,RNA
feature_8_4,ATAC
feature_8_4,Protein
feature_8_4,Spatial
feature_8_5,RNA
feature_8_5,ATAC
feature_8_5,Protein
feature_8_5,Spatial
feature_8_6,RNA
feature_8_6,ATAC
feature_8_6,Protein
feature_8_6,Spatial
feature_8_7,RNA
feature_8_7,ATAC
feature_8_7,Protein
feature_8_7,Spatial
feature_8_8,RNA
feature_8_8,ATAC
feature_8_8,Protein
feature_8_8,Spatial
feature_8_9,RNA
feature_8_9,ATAC
feature_8_9,Protein
feature_8_9,Spatial
feature_8_10,RNA
feature_8_10,ATAC
feature_8_10,Protein
feature_8_10,Spatial
feature_8_11,RNA
feature_8_11,ATAC
feature_8_11,Protein
feature_8_11,Spatial
feature_8_12,RNA
feature_8_12,ATAC
feature_8_12,Protein
feature_8_12,Spatial
feature_8_13,RNA
feature_8_13,ATAC
feature_8_13,Protein
feature_8_13,Spatial
feature_8_14,RNA
feature_8_14,ATAC
feature_8_14,Protein
feature_8_14,Spatial
feature_8_15,RNA
feature_8_15,ATAC
feature_8_15,Protein
feature_8_15,Spatial
feature_8_16,RNA
feature_8_16,ATAC
feature_8_16,Protein
feature_8_16,Spatial
feature_8_17,RNA
feature_8_17,ATAC
feature_8_17,Protein
feature_8_17,Spatial
